a52dec 0.7.4-9
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.4-1
libwrap 7.6.24-3
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomp 3.5.0.32-2
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libzip 1.1.3-1
licenses 20140629-1
lilv 0.22.0-2
linux 4.8.11-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-headers 4.8.11-1
lirc 1:0.9.4.c-1
live-media 2016.08.07-1
llvm-libs 3.9.0-3
lm_sensors 3.4.0-2
logrotate 3.10.0-1
lpsolve 5.5.2.5-1
lrzip 0.631-1
lshw B.02.18-1
lsof 4.89-1
lua 5.3.3-2
lua-lgi 0.9.1-1
lua52 5.2.4-2
lv2 1.12.0-1
lvm2 2.02.167-2
lxappearance 0.6.2-1
lxmenu-data 0.1.5-1
lz4 131-2
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mariadb 10.1.19-1
mariadb-clients 10.1.19-1
mate-desktop 1.16.1-1
mate-desktop-schemas 1.16.1-1
mdadm 3.4-1
media-player-info 22-2
meld 3.16.3-1
menu-cache 1.0.1-2
mercurial 4.0-1
mesa 13.0.2-2
mesa-demos 8.3.0-2
mesa-libgl 13.0.2-2
mime-types 9-1
minecraft latest-25
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.24.2-1
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
modemmanager 1.6.4-1
mono 4.6.1.3-1
mono-addins 1.1-1
mono-upnp 0.1.2-2
mono-zeroconf 0.9.0-4
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.8-1
mtdev 1.1.5-1
mtools 4.0.18-3
mutagen 1.35.1-1
